"num.of.doors","length","width","height","wheel.base"
"two",157.3,64.4,50.8,93.7
"two",157.3,64.4,NA,93.7
"two",157.3,NA,50.8,93
"two",173,65.4,49.4,96.3
"two",173,65.4,49.4,96.3
"two",NA,66.3,50.2,95.9
"two",173.2,66.3,50.2,95.9
"two",173.2,66.3,NA,95.9
"four",172.4,65.4,51.6,96.3
"four",172.4,65.4,51.6,96.3
"four",172.4,65.4,51.6,96.3
"four",172.4,65.4,51.6,96.3
"two",165.3,63.8,NA,94.5
"two",165.3,63.8,54.5,94.5
"two",165.3,63.8,54.5,94.5
"four",165.3,63.8,54.5,94.5
"four",170.2,63.8,53.5,94.5
"two",165.3,63.8,NA,94.5
"two",165.6,63.8,53.3,94.5
"four",165.3,63.8,54.5,94.5
"four",NA,63.8,53.5,94.5
"two",NA,63.8,53.3,95.1
"four",173.4,65.2,54.7,NA
"four",173.4,65.2,54.7,97.2
"four",181.7,NA,55.1,100.4
"four",184.6,66.5,56.1,100.4
"four",NA,66.5,55.1,100.4
"two",170.7,67.9,49.7,91.3
"two",170.7,67.9,49.7,91.3
"two",178.5,67.9,49.7,99.2
"four",186.7,68.4,56.7,107.9
"four",186.7,68.4,56.7,107.9
"four",198.9,68.4,58.7,114.2
"four",198.9,68.4,58.7,114.2
"four",186.7,68.4,56.7,107.9
"four",186.7,68.4,56.7,107.9
"four",198.9,68.4,56.7,114.2
"four",198.9,68.4,58.7,114.2
"four",186.7,68.4,56.7,107.9
"four",186.7,68.4,NA,107.9
"four",186.7,NA,56,108
"two",157.3,63.8,50.8,93.7
"two",157.3,63.8,50.8,93.7
"four",157.3,63.8,50.6,93.7
"four",167.3,63.8,50.8,93.7
"four",167.3,63.8,50.8,93.7
"four",174.6,64.6,59.8,103.3
"two",173.2,66.3,50.2,95.9
"two",168.9,68.3,50.2,94.5
"two",168.9,65,NA,89.5
"two",168.9,65,51.6,89.5
"two",168.9,65,51.6,89.5
"two",175.7,72.3,50.5,98.4
"four",181.5,66.5,55.2,96.1
"two",176.8,66.6,50.5,96.1
"two",186.6,66.5,56.1,99.1
"four",186.6,66.5,56.1,99.1
"two",186.6,66.5,56.1,99.1
"four",186.6,66.5,56.1,NA
"two",186.6,66.5,56.1,99.1
"four",186.6,NA,56.1,99.1
"two",156.9,63.4,53.7,93.7
"two",157.9,63.6,53.7,93.7
"two",157.3,63.8,55.7,93.3
"four",172,65.4,52.5,97.2
"four",172,65.4,52.5,97.2
"four",172,65.4,52.5,97.2
"four",172,65.4,54.3,97
"four",172,65.4,54.3,97
"four",NA,65.4,53,97
"four",173.5,65.4,53,97
"four",173.6,65.4,54.9,96.9
"four",173.6,65.4,54.9,96.9
"two",158.7,63.6,54.5,95.7
"two",158.7,63.6,54.5,95.7
"four",NA,63.6,54.5,95.7
"four",169.7,63.6,59.1,95.7
"four",169.7,63.6,59.1,95.7
"four",169.7,63.6,59.1,95.7
"four",166.3,64.4,53,95.7
"four",166.3,64.4,52.8,95.7
"four",NA,64.4,53,95.7
"four",NA,64.4,52.8,95.7
"four",166.3,64.4,53,95.7
"four",166.3,64.4,52.8,95.7
"four",166.3,64.4,52.8,95.7
"two",168.7,64,52.6,94.5
"two",168.7,64,52.6,94.5
"two",168.7,64,52.6,94.5
"two",168.7,64,52.6,94.5
"two",176.2,65.6,52,98.4
"two",176.2,NA,52,98.4
"two",176.2,65.6,52,98.4
"two",176.2,65.6,52,NA
"two",176.2,65.6,52,98.4
"two",176.2,65.6,NA,98.4
"four",175.6,66.5,54.9,102.4
"four",175.6,66.5,54.9,NA
"four",175.6,66.5,NA,102.4
"four",175.6,66.5,54.9,102.4
"four",175.6,66.5,53.9,102.4
"two",183.5,67.7,52,102.9
"two",183.5,67.7,52,102.9
"four",187.8,66.5,54.1,104.5
"four",187.8,66.5,NA,104.5
"two",171.7,65.5,55.7,97.3
"two",171.7,65.5,55.7,97.3
"four",171.7,65.5,55.7,97.3
"four",171.7,65.5,55.7,97.3
"four",171.7,65.5,55.7,97.3
"four",171.7,65.5,55.7,97.3
"four",171.7,65.5,55.7,NA
"two",159.3,64.2,55.6,94.5
"two",165.7,NA,51.4,94.5
"four",180.2,66.9,55.1,100.4
"four",180.2,66.9,55.1,100.4
"four",183.1,66.9,55.1,100.4
"four",188.8,67.2,56.2,104.3
"four",188.8,67.2,57.5,104.3
"four",NA,67.2,56.2,104.3
"four",188.8,67.2,57.5,104.3
"four",188.8,67.2,56.2,104.3
"four",NA,67.2,57.5,104.3
"four",188.8,68.9,55.5,109.1
"four",188.8,68.8,55.5,109.1
"four",188.8,68.9,NA,109.1
"four",188.8,68.9,55.5,109.1
"four",188.8,68.9,55.5,109.1
